,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st,has_disappered,has_lotincreased,has_merged
16622,4113,4000.0,53.3,,1,1,0,0,0,0
16639,4105,4000.0,76.7,,1,1,0,0,0,0
16672,nan,4000.0,100.0,,1,1,0,0,0,0
16677,4103,4000.0,33.3,,1,1,0,0,0,0
16701,3901,6000.0,100.0,,0,0,0,1,0,1
16755,4001,5000.0,33.3,,1,1,0,0,1,1
16758,4002,550.0,100.0,,0,0,0,1,0,1
16776,3807,4937.0,100.0,,1,0,0,0,1,1
16790,3901,5000.0,68.3,,1,1,0,0,0,0
16900,4104,9975.0,88.0,,1,1,0,0,0,0
16938,3710,5650.0,100.0,,1,0,0,0,0,0
16977,3808,10041.0,51.6,,1,1,0,0,1,1
16979,3902,6000.0,66.7,,1,1,0,0,1,1
16988,4103,6000.0,70.0,,0,0,0,1,0,1
17038,nan,5166.0,100.0,,0,0,0,1,0,1
17060,nan,2300.0,100.0,,0,0,0,0,1,1
17068,4101,3807.0,74.4,,1,1,0,0,0,0
17098,4002,2120.0,55.1,,0,0,0,1,0,1
17185,4006,1833.0,100.0,,0,0,0,1,0,1
17243,4001,2500.0,-13.6,,0,0,0,1,0,1
17271,4005,39000.0,40.8,,1,1,0,0,0,0
17311,4007,1000.0,-44.0,,0,0,0,0,1,1
17336,4004,19413.0,3.8,,0,1,0,1,0,1
17338,nan,6460.0,100.0,,1,1,0,0,0,0
17345,4106,3800.0,50.2,,1,0,0,0,0,0
17410,4003,964.0,-28.7,,0,0,0,1,0,1
17421,4004,2000.0,-14.0,,0,0,0,1,0,1
17473,4002,4650.0,82.3,,0,0,0,0,1,1
17503,3702,7500.0,82.2,,1,1,0,0,0,0
17507,4001,4035.0,81.1,,1,1,0,0,0,0
17516,4111,6500.0,72.8,,1,0,0,0,0,0
17580,4009,4180.0,72.2,,1,0,0,0,0,0
17593,4101,3392.0,76.5,,1,1,0,0,1,1
